Exp_1,Exp_2,Exp_3,Exp_4,Exp_5,Exp_6,Exp_7,Exp_8,Exp_9,t
-0.9187827276945306,-1.0208378882479663,-0.9105685722061768,-0.9974719105205457,-0.9779386215334407,-1.0155891795520686,-0.9154737106876749,-0.9954397600467018,-0.9999445681420822,-10.0
-1.0305878163917903,-1.002813337070603,-0.9781745031836869,-0.975002429047395,-1.016543503303991,-0.9635497995286613,-1.023296864236328,-0.945435859045681,-1.0144771991717965,-9.97997997997998
-1.026408583147173,-1.106809800317423,-0.9951751221303998,-1.0497954420893434,-0.8784614361836112,-0.9891089561302001,-0.998358987350071,-1.0973485109851275,-1.0558033106872209,-9.95995995995996
-1.0536484264593617,-0.9179864549313038,-1.0931746305197778,-0.9653200699369877,-1.0126046018317072,-1.0449545851789102,-0.9796241812017279,-1.0693174719634002,-1.000644133188843,-9.93993993993994
-0.9567296136954189,-1.089671774421396,-1.0138694052873727,-1.0209150711629984,-0.9945195030827437,-1.124339027743046,-1.0394461465929399,-1.114824573871761,-1.0189180683720487,-9.91991991991992
-1.1150769298080085,-1.0420873632468046,-1.0177379439274439,-1.0792288567196007,-0.9208759391109164,-0.9543374189022,-0.9998967163186971,-0.8795082797969174,-1.0240567631078397,-9.8998998998999
-0.9127594065474373,-0.9748559239003591,-1.0041370688323843,-1.0323853331143538,-1.0454616150010734,-0.9436468084596696,-1.0000445140511578,-0.9136081863292653,-1.075866553698045,-9.87987987987988
-1.0380603395888786,-1.062264398874485,-1.0313500283853159,-0.9700712358457546,-1.0295818274406379,-1.0757046559756342,-1.0877362098613945,-0.8897721803163168,-1.0245435936052107,-9.85985985985986
-0.9840480395183826,-1.0528976052643544,-1.002190902770034,-0.9833874926907393,-0.9906198330293857,-0.918035440174353,-0.9491170940380629,-0.9602586123538175,-1.0120340232463712,-9.83983983983984
-1.0124685128631168,-1.0454503748355888,-1.0238608956072213,-1.0573738257365202,-1.0164934919782143,-1.0214946742395636,-0.9699750682932687,-0.9511789392691992,-1.0323973671003264,-9.81981981981982
-0.9268945969955287,-0.9724272916204562,-1.0656932315159116,-0.9690665093964334,-1.0596382244688676,-0.8684359659845864,-1.0312714425461154,-1.059171351214428,-0.9682054398354358,-9.7997997997998
-1.1030070290713268,-0.8853895929556962,-0.9557688745714649,-1.0043993400134579,-1.0102438191258234,-0.969908881098651,-1.00857740665623,-0.9041818130696702,-0.9129941283321853,-9.77977977977978
-1.0161208535355184,-0.9979230236849229,-0.9559340912244666,-0.9787463735104921,-1.0179414406849052,-1.0167940740819554,-0.9747350246250055,-1.0561663333624,-0.985165882449273,-9.75975975975976
-1.019202710795976,-1.055896265318231,-0.9145213398799077,-0.9833873357939384,-0.9698264129320804,-0.9381131009012729,-1.0130678138221376,-1.0332017665417603,-0.9646248099699607,-9.73973973973974
-0.9433115206623717,-0.973047076750104,-0.9974983106703005,-1.0578408058251008,-1.0832394192527284,-0.9944435844407687,-1.0121374467127708,-1.0189179212975714,-0.9088592046232317,-9.71971971971972
-1.0549945558498555,-1.0298079774744773,-1.0202338632141983,-0.9824501348300273,-1.0350089443686514,-0.993542430088978,-1.0726620631086934,-1.0395807560589707,-0.9784615410092092,-9.6996996996997
-1.008621402554635,-1.0009565170031707,-1.0272679895580896,-1.0303443563319832,-0.9424304417027546,-0.9961936115663462,-0.9722709765825187,-0.9570225867180945,-0.9228635109027088,-9.67967967967968
-1.0438929127535976,-0.9412499308825144,-1.0773238576366775,-0.9226510254067426,-0.9071334414959633,-1.0077563997854595,-0.993805946593177,-1.0115394416318082,-1.0450360504283633,-9.65965965965966
-0.9978893041891095,-1.0373935389895823,-0.9508816198119812,-0.9638329110874962,-1.0755589694093075,-0.9682887243664929,-0.986276995336891,-1.0032830429301287,-1.0068562420437894,-9.63963963963964
-0.970859230492869,-0.9995487286299939,-1.055053372684234,-0.9976932128171518,-0.9677576156340212,-0.9594672410073566,-1.0763262177721522,-1.010431802915268,-0.9351210405746576,-9.61961961961962
-1.0550309496789327,-1.0439053854803038,-1.0592523171692954,-1.0491495734892133,-1.0490303850792178,-0.98225956036967,-0.9174650062589629,-0.9326565623125842,-0.9662364324466775,-9.5995995995996
-0.9427638049512106,-1.0078216989624225,-1.0102824854143184,-0.9972783534999334,-1.0428426481789959,-0.9093704747526901,-0.9922832136703734,-1.0303476303110475,-0.9984020845948564,-9.57957957957958
-0.9549204540231325,-0.9871714674527076,-0.9256925722990428,-0.9920053432991409,-1.043593949215555,-1.0678237802667079,-1.0193569872170918,-1.008712400735004,-0.9540926952378982,-9.55955955955956
-0.9748752727013102,-1.0494389420848849,-0.988164176285058,-1.0604473976028497,-1.0211253861045233,-1.0231815879409705,-0.8985463786083481,-0.9787974185948175,-0.9809745163243916,-9.53953953953954
-0.9549571917602133,-1.0169410875248936,-1.0511892462197574,-0.8888319783778755,-0.9501779978777658,-0.9587672969912308,-1.0022692907164663,-1.082299494464622,-0.9741816148615385,-9.51951951951952
-1.0341863817419015,-1.0118091903258148,-1.0356496487887872,-0.9802852280474652,-0.9643789252393563,-1.0588215628040403,-1.0725339237405134,-1.0241770362814493,-1.0177619617004898,-9.4994994994995
-1.0061444996008828,-1.0318827389491654,-0.9687377400168089,-0.9153821025630428,-0.9970427761639984,-0.9217755053458117,-1.0202613810963348,-0.9732265758241623,-0.9895611382635894,-9.47947947947948
-1.0467884595609496,-1.0593806021672603,-1.0080256560073422,-1.0556405955406847,-1.018165531772092,-0.9643647331212318,-1.1144157429465822,-0.9416929635293102,-0.9835794340495738,-9.45945945945946
-1.0133943913328578,-1.0710608487167632,-1.0384418048675184,-0.9182126102614805,-0.9998355452048514,-1.00905031724467,-0.9475301598843942,-0.9919158319143029,-1.0249112256755317,-9.43943943943944
-0.9734822134979277,-1.0076747466186844,-1.011501522948734,-1.0680482664266617,-1.0052965089377082,-0.9732900105554876,-1.020823702760838,-1.0336416831885145,-1.1045888255118603,-9.41941941941942
-1.0345830238832734,-1.0134528343078086,-0.9627471729767394,-1.0325612779634978,-0.9603473203239095,-1.0293306342879212,-1.0371276625572363,-0.9278737797128377,-1.0041293733280845,-9.3993993993994
-1.0198376620800058,-0.8884316462928769,-0.9011944465808919,-0.9728774203170406,-1.0315785672268178,-1.0740926491766336,-0.9463764791584323,-1.0110740162837983,-0.8772408531222067,-9.37937937937938
-1.034358620160517,-1.1217383639805893,-1.0622061516023338,-0.9975996727950026,-1.000309730578825,-0.9571376042326714,-1.0825537646248289,-0.9984367694702297,-1.133605485363134,-9.35935935935936
