xplot ytrue Bspline_fit Pspline_fit SCP_spline_fit
-0.1 0.0 -0.04167578474409628 -0.049114217521225814 -0.13361778987775988
-0.0997997997997998 0.0 -0.132815287506043 -0.07105612475051157 -0.13361845201028508
-0.0995995995995996 0.0 -0.1985951179507786 -0.09219535366485729 -0.13361917313883226
-0.0993993993993994 0.0 -0.24236790124920718 -0.11231093447376095 -0.13361993851629758
-0.0991991991991992 0.0 -0.26748626257223274 -0.1311818973867204 -0.13362073339557717
-0.098998998998999 0.0 -0.2773028270907594 -0.1485872726132336 -0.1336215430295672
-0.0987987987987988 0.0 -0.2751702199756911 -0.16430609036279833 -0.13362235267116368
-0.09859859859859861 0.0 -0.26444106639793286 -0.1781173808449118 -0.13362314757326288
-0.09839839839839841 0.0 -0.24846799152838706 -0.18980017426907375 -0.13362391298876083
-0.09819819819819821 0.0 -0.2306036205379582 -0.19913350084478104 -0.13362463417055376
-0.09799799799799801 0.0 -0.2142005785975503 -0.2058963907815316 -0.13362529637153767
-0.0977977977977978 0.0 -0.20235262732112566 -0.2098930534405156 -0.13362207753429312
-0.0975975975975976 0.0 -0.19549073473935294 -0.21118670290475758 -0.13357199179789747
-0.0973973973973974 0.0 -0.19247932745766339 -0.20999292767662558 -0.13340901294225702
-0.0971971971971972 0.0 -0.19216275326225157 -0.20652926928594867 -0.13306681943226148
-0.096996996996997 0.0 -0.19338535993931213 -0.20101326926255575 -0.1324790897328006
-0.0967967967967968 0.0 -0.19499149527503973 -0.193662469136276 -0.13157950230876414
-0.0965965965965966 0.0 -0.1958255070556288 -0.18469441043693835 -0.13030173562504188
-0.0963963963963964 0.0 -0.19473174306727395 -0.17432663469437187 -0.12857946814652355
-0.0961961961961962 0.0 -0.1905545510961698 -0.16277668343840562 -0.12634637833809886
-0.09599599599599601 0.0 -0.18213827892851162 -0.15026209819886946 -0.12353614466465776
-0.09579579579579581 0.0 -0.16835650759529353 -0.13700242753242917 -0.12008460106565796
-0.0955955955955956 0.0 -0.14920553755366045 -0.1232943010052559 -0.1160103637097247
-0.0953953953953954 0.0 -0.126132231846836 -0.10953393747170566 -0.11143900407562138
-0.0951951951951952 0.0 -0.10067960747983537 -0.096124157296957 -0.10650318342707008
-0.094994994994995 0.0 -0.0743906814576739 -0.08346778084618864 -0.10133556302779284
-0.0947947947947948 0.0 -0.048808470785366834 -0.07196762848457913 -0.09606880414151177
-0.0945945945945946 0.0 -0.02547599246792956 -0.06202652057730718 -0.09083556803194894
-0.0943943943943944 0.0 -0.005936263510377307 -0.0540472774895514 -0.08576851596282639
-0.0941941941941942 0.0 0.008267699082274649 -0.04843271958649042 -0.08100030919786623
-0.093993993993994 0.0 0.015592878305010938 -0.04558566723330289 -0.07666360900079053
-0.0937937937937938 0.0 0.014496925935207322 -0.045908711210946376 -0.07289103340926165
-0.0935935935935936 0.0 0.004254105807261863 -0.04952411009432532 -0.06976241958331134
-0.09339339339339339 0.0 -0.013456716507938074 -0.05572865422814551 -0.06720218573108036
-0.09319319319319319 0.0 -0.03651628022870147 -0.06366795205878273 -0.06510628557071003
-0.092992992992993 0.0 -0.06280532457333533 -0.0724876120326121 -0.06337067282034177
-0.0927927927927928 0.0 -0.09020458876015224 -0.08133324259601062 -0.06189130119811663
-0.0925925925925926 0.0 -0.11659481200745958 -0.08935045219535351 -0.06056412442217607
-0.0923923923923924 0.0 -0.13985673353356612 -0.0956848492770165 -0.059285096210661414
-0.0921921921921922 0.0 -0.15787109255678083 -0.09948204228737537 -0.05795017028171395
-0.091991991991992 0.0 -0.1685186282954126 -0.09988763967280585 -0.056455300353475006
-0.0917917917917918 0.0 -0.1696800799677704 -0.09604724987968376 -0.05469644014408588
-0.0915915915915916 0.0 -0.15960773125726013 -0.08726524480601798 -0.05258509839951658
-0.0913913913913914 0.0 -0.13926374261869878 -0.07400394494048608 -0.05014623518193579
-0.09119119119119119 0.0 -0.11081087755029492 -0.057238696536152676 -0.04745507483008078
-0.09099099099099099 0.0 -0.07641726971724877 -0.037947140554596456 -0.0445870665093377
-0.09079079079079079 0.0 -0.038251052784760486 -0.017106917957396064 -0.04161765938509267
-0.0905905905905906 0.0 0.0015196395819671027 0.004304330293868355 -0.03862230262273207
-0.0903903903903904 0.0 0.04072667371773944 0.02530896323762108 -0.0356764453876416
-0.0901901901901902 0.0 0.07720191595735372 0.044929339912282075 -0.03285553684520765
-0.08998998998999 0.0 0.10877723263560976 0.062187819356272586 -0.030235026160816324
-0.0897897897897898 0.0 0.13328449008730747 0.076106760608014 -0.02789036249985378
-0.0895895895895896 0.0 0.14863096061928832 0.08574103309039802 -0.025894563630780007
-0.0893893893893894 0.0 0.15441698567954049 0.09087545277064805 -0.024266055848805607
-0.0891891891891892 0.0 0.15191336156458685 0.09201503227808235 -0.02296940315317122
-0.08898898898898899 0.0 0.1424617674280933 0.08969534453950874 -0.021966883989913814
-0.08878878878878879 0.0 0.12740388242372575 0.08445196248173506 -0.021220776805070344
-0.08858858858858859 0.0 0.10808138570515008 0.07682045903156924 -0.02069336004467779
-0.08838838838838839 0.0 0.08583595642603227 0.0673364071158191 -0.02034691215477312
-0.08818818818818819 0.0 0.062009273740038236 0.056535379661292545 -0.020143711581393303
-0.08798798798798799 0.0 0.03794301680083388 0.0449529495947974 -0.020046036770575298
-0.08778778778778779 0.0 0.014978864762085119 0.033124689843141555 -0.020016166168356084
-0.0875875875875876 0.0 -0.005543649805807203 0.02158558537200484 -0.020016433310620002
-0.0873873873873874 0.0 -0.022706157457511904 0.010755262218156671 -0.02001998045082655
-0.0871871871871872 0.0 -0.036513827219187514 0.0008003840801766096 -0.020023651505553568
-0.086986986986987 0.0 -0.04709432637928909 -0.008145938300608621 -0.02002743418304012
-0.0867867867867868 0.0 -0.054575322226271636 -0.01595059418287229 -0.02003131619152529
-0.08658658658658659 0.0 -0.05908448204859014 -0.02248047282528764 -0.020035285239248114
-0.08638638638638639 0.0 -0.060749473134699625 -0.027602463486527937 -0.02003932903444768
-0.08618618618618619 0.0 -0.059697962773055134 -0.031183455425266467 -0.020043435285363047
-0.08598598598598599 0.0 -0.056057618252111654 -0.03309033790017646 -0.020047591700233278
-0.08578578578578579 0.0 -0.04995610686032419 -0.03319000016993119 -0.02005178598729744
-0.08558558558558559 0.0 -0.041521095886147774 -0.03134933149320393 -0.0200560058547946
-0.08538538538538538 0.0 -0.03094744883077733 -0.02750886148458747 -0.02006024170822156
-0.0851851851851852 0.0 -0.018785571126018127 -0.021998758299997832 -0.020064498224537562
-0.084984984984985 0.0 -0.005703020222180222 -0.015277577038420097 -0.020068784783186938
-0.0847847847847848 0.0 0.00763257454773586 -0.007803951575106383 -0.0200731107664994
-0.0845845845845846 0.0 0.020553583850730403 -3.651578530846494e-05 -0.020077485556804664
-0.08438438438438439 0.0 0.0323923783538037 0.007566096455721878 -0.020081918536432417
-0.08418418418418419 0.0 0.04248132872395604 0.01454525127273288 -0.02008641908771238
-0.08398398398398399 0.0 0.050152805628187726 0.020442314790472767 -0.02009099659297426
-0.08378378378378379 0.0 0.05473917973349904 0.024798653133689758 -0.020095660434547767
-0.08358358358358359 0.0 0.05557282170689026 0.02715563242713208 -0.020100419994762607
-0.08338338338338339 0.0 0.05204215561591037 0.027086774605576056 -0.020105283869082766
-0.08318318318318318 0.0 0.0443475349916478 0.024631376192497872 -0.020110249255279065
-0.08298298298298298 0.0 0.033300911126380416 0.020179585242768944 -0.020115304765642987
-0.08278278278278278 0.0 0.019729211343016806 0.014130141018773964 -0.020120438802235678
-0.08258258258258258 0.0 0.004459362964465544 0.006881782782897611 -0.020125639767118297
-0.08238238238238238 0.0 -0.011681706686364791 -0.0011667502024754611 -0.020130896062351997
-0.08218218218218218 0.0 -0.02786707028656557 -0.009616718674960542 -0.02013619608999792
-0.08198198198198199 0.0 -0.04326980051322723 -0.01806938337217239 -0.020141528252117222
-0.08178178178178179 0.0 -0.05706297004344337 -0.026126005031727528 -0.020146880950771055
-0.08158158158158159 0.0 -0.06841965155430432 -0.0333878443912407 -0.020152242588020567
-0.08138138138138139 0.0 -0.07651947547274 -0.03945883246924323 -0.02015760160307052
-0.08118118118118119 0.0 -0.08101335171845808 -0.044134802791476815 -0.020162949104490006
-0.08098098098098098 0.0 -0.08233132181283737 -0.04752884713510054 -0.0201682806139111
-0.08078078078078078 0.0 -0.08097647648150459 -0.049783802525390004 -0.020173592066722354
-0.08058058058058058 0.0 -0.07745190645008657 -0.05104250598762081 -0.02017887939831232
-0.08038038038038038 0.0 -0.07226070244421007 -0.05144779454706862 -0.020184138544069558
-0.08018018018018018 0.0 -0.06590595518950185 -0.05114250522900898 -0.02018936543938262
-0.07997997997997999 0.0 -0.058890755411589245 -0.05026947505871762 -0.02019455601964006
-0.07977977977977979 0.0 -0.05171819383609797 -0.04897154106147002 -0.020199706220230422
-0.07957957957957959 0.0 -0.04489136118865532 -0.04739154026254182 -0.020204811976542274
-0.07937937937937939 0.0 -0.03891334808014372 -0.04567230966336866 -0.020209869223964987
-0.07917917917917919 0.0 -0.034179249140656134 -0.04393424835654161 -0.020214874678117112
-0.07897897897897899 0.0 -0.030665329251683197 -0.04221073679144097 -0.02021982808050004
-0.07877877877877879 0.0 -0.028246334860502847 -0.0405140633234982 -0.020224729906046554
-0.07857857857857858 0.0 -0.02679701241439303 -0.0388565163081448 -0.02022958062968945
-0.07837837837837838 0.0 -0.02619210836063167 -0.037250384100812245 -0.02023438072636151
-0.07817817817817818 0.0 -0.026306369146496714 -0.03570795505693199 -0.020239130670995517
-0.07797797797797798 0.0 -0.027014541219266098 -0.034241517531935564 -0.020243830938524266
-0.07777777777777778 0.0 -0.02819137102621776 -0.032863359881254404 -0.02024848200388054
-0.07757757757757758 0.0 -0.029711605014629633 -0.03158577046032 -0.020253084341997123
-0.07737737737737738 0.0 -0.03144998963177967 -0.030421037624563857 -0.020257638427806812
-0.07717717717717718 0.0 -0.03328622045848303 -0.02938590842385354 -0.020262144468507368
-0.07697697697697697 0.0 -0.03514911033598332 -0.028541379846786757 -0.02026660001418283
-0.07677677677677677 0.0 -0.03699557393202593 -0.027973765931203355 -0.020271001094682838
-0.07657657657657659 0.0 -0.0387828566309557 -0.02776967865886637 -0.020275343721966134
-0.07637637637637638 0.0 -0.04046820381711781 -0.0280157300115388 -0.020279623907991463
-0.07617617617617618 0.0 -0.04200886087485711 -0.0287985319709837 -0.02028383766471757
-0.07597597597597598 0.0 -0.043362073188518514 -0.030204696518964104 -0.0202879810041032
-0.07577577577577578 0.0 -0.044485086142447006 -0.03232083563724305 -0.0202920499381071
-0.07557557557557558 0.0 -0.04533514512098752 -0.035233561307583566 -0.02029604047868801
-0.07537537537537538 0.0 -0.04586949550848501 -0.03902948551174869 -0.020299948637804675
-0.07517517517517518 0.0 -0.04604925009841867 -0.04379148429911099 -0.020303770331337914
-0.07497497497497498 0.0 -0.04597543445522377 -0.049467277433605156 -0.0203074979993197
-0.07477477477477477 0.0 -0.04592501056138354 -0.0558346294093638 -0.020311119710998818
-0.07457457457457459 0.0 -0.0461861312915655 -0.06266049427478174 -0.020314623257609014
-0.07437437437437439 0.0 -0.04704694952043718 -0.06971182607825527 -0.02031799643038406
-0.07417417417417418 0.0 -0.048795618122666126 -0.07675557886817927 -0.020321227020557713
-0.07397397397397398 0.0 -0.05172028997291988 -0.08355870669294908 -0.020324302819363732
-0.07377377377377378 0.0 -0.056109117945865955 -0.08988816360096 -0.020327211618035877
-0.07357357357357358 0.0 -0.06225025491617194 -0.0955109036406074 -0.02032994120780792
-0.07337337337337338 0.0 -0.07043185375850532 -0.10019388086028654 -0.020332479379913605
-0.07317317317317318 0.0 -0.08094171003900046 -0.10370409909582567 -0.0203348132788662
-0.07297297297297298 0.0 -0.09373087737311796 -0.10585548386471721 -0.020336320553731982
-0.07277277277277278 0.0 -0.10778820971054706 -0.10659603375234572 -0.02033463729356602
-0.07257257257257257 0.0 -0.12193181101119889 -0.10589753967721174 -0.020327090533736665
-0.07237237237237237 0.0 -0.13497978523498455 -0.10373179255781582 -0.02031100730961223
-0.07217217217217217 0.0 -0.14575023634181528 -0.1000705833126585 -0.02028371465656105
-0.07197197197197197 0.0 -0.15306126829160205 -0.09488570286024028 -0.020242539609951447
-0.07177177177177177 0.0 -0.1557309850442562 -0.0881489421190618 -0.020184809205151765
-0.07157157157157157 0.0 -0.1525774905596887 -0.07983209200762346 -0.02010785047753031
-0.07137137137137137 0.0 -0.14241888879781087 -0.06990694344442591 -0.020008990462455432
-0.07117117117117118 0.0 -0.12407328371853535 -0.05834528734797054 -0.019885556195295466
-0.07097097097097098 0.0 -0.09671360233904384 -0.045186301016365726 -0.019735600221150666
-0.07077077077077078 0.0 -0.06201693342954634 -0.030944740746984174 -0.01956229536601905
-0.07057057057057058 0.0 -0.022738098363454085 -0.01634004090652927 -0.01937101810494575
-0.07037037037037037 0.0 0.018363884397821995 -0.002092432953548877 -0.019167153494797584
-0.07017017017017017 0.0 0.0585299963928714 0.011077851653409139 -0.018956086592441336
-0.06996996996996997 0.0 0.09500121916028328 0.02245058145579694 -0.018743202454743788
-0.06976976976976977 0.0 0.125018534238647 0.03130552499506667 -0.01853388613857174
-0.06956956956956957 0.0 0.1458229231665519 0.03692245081267043 -0.018333522700791985
-0.06936936936936937 0.0 0.15465536748258724 0.038581127450060426 -0.018147497198271308
-0.06916916916916918 0.0 0.14875684872534323 0.03556132344868916 -0.01798119468787652
-0.06896896896896898 0.0 0.12552284678555864 0.027184521594811398 -0.01783981564072889
-0.06876876876876878 0.0 0.08565698869790703 0.013665397759825698 -0.017724608144003562
-0.06856856856856858 0.0 0.033040242920145846 -0.003923496381659952 -0.017633024180081693
-0.06836836836836838 0.0 -0.02831809823064546 -0.02447496197073211 -0.01756236241737765
-0.06816816816816818 0.0 -0.0944087424373875 -0.04688180014847736 -0.01750992152430577
-0.06796796796796797 0.0 -0.16122239738300045 -0.07003681205598225 -0.017473000169280398
-0.06776776776776777 0.0 -0.22474977075040511 -0.09283279883433335 -0.017448897020715882
-0.06756756756756757 0.0 -0.28098157022252146 -0.11416256162461716 -0.017434910747026564
-0.06736736736736737 0.0 -0.3259085034822705 -0.13291890156792033 -0.017428340016626805
-0.06716716716716717 0.0 -0.3555212782125724 -0.14799461980532935 -0.017426483497930932
-0.06696696696696697 0.0 -0.36582382066565927 -0.158285591738914 -0.017426644448083884
-0.06676676676676677 0.0 -0.35511234342263026 -0.16322081297891927 -0.017426921874824124
-0.06656656656656657 0.0 -0.32656713986708097 -0.16336517657622907 -0.01742711025916003
-0.06636636636636636 0.0 -0.2839950701337283 -0.15942929707933715 -0.0174272215902087
-0.06616616616616616 0.0 -0.2312029943572892 -0.1521237890367375 -0.01742726785708725
-0.06596596596596596 0.0 -0.1719977726724808 -0.14215926699692397 -0.017427261048912793
-0.06576576576576576 0.0 -0.11018626521401992 -0.13024634550839037 -0.01742721315480243
-0.06556556556556557 0.0 -0.04957533211662782 -0.11709563911963167 -0.017427136163873282
-0.06536536536536537 0.0 0.0060281664849872185 -0.10341776237913976 -0.017427042065242454
-0.06516516516516517 0.0 0.052817370456103796 -0.0899233298354095 -0.01742694284802706
-0.06496496496496497 0.0 0.08698541966200493 -0.07732295603693473 -0.017426850501344206
-0.06476476476476477 0.0 0.10554965742568889 -0.06621301073946502 -0.017426775403219533
-0.06456456456456457 0.0 0.10975382428133873 -0.05660403277444704 -0.01742671967023249
-0.06436436436436437 0.0 0.10219268550189375 -0.048319292235460776 -0.017426682778080075
-0.06416416416416418 0.0 0.08546160495707034 -0.04118197624317038 -0.017426664201289216
-0.06396396396396398 0.0 0.06215594651658085 -0.03501527191823847 -0.017426663414386808
-0.06376376376376378 0.0 0.034871074050141226 -0.029642366381329246 -0.017426679891899784
-0.06356356356356357 0.0 0.006202351427466335 -0.024886446753106348 -0.01742671310835505
-0.06336336336336337 0.0 -0.021254857481728784 -0.020570700154233415 -0.017426762538279524
-0.06316316316316317 0.0 -0.04490518880772926 -0.01651831370537408 -0.017426827656200117
-0.06296296296296297 0.0 -0.062153278680820115 -0.012552474527191996 -0.017426907936643747
-0.06276276276276277 0.0 -0.0705724695868577 -0.008508753462365595 -0.017427003129366393
-0.06256256256256257 0.0 -0.07008385055460364 -0.004395055350416942 -0.01742711681425889
-0.06236236236236237 0.0 -0.06232954350564679 -0.00034561573637656093 -0.01742725537892061
-0.062162162162162166 0.0 -0.048991232783005725 0.00350242579458049 -0.017427425275493444
-0.061961961961961964 0.0 -0.03175060272969876 0.007011929657279165 -0.017427632956119262
-0.06176176176176176 0.0 -0.012289337688744392 0.010045756266544404 -0.01742788487293994
-0.06156156156156156 0.0 0.007710877996839019 0.012466766037201161 -0.017428187478097358
-0.06136136136136137 0.0 0.02656835998403241 0.014137819384074345 -0.01742854722373339
-0.061161161161161166 0.0 0.04260142392981876 0.014921776721989025 -0.017428970561989908
-0.060960960960960965 0.0 0.05412838549117886 0.01468149846577007 -0.017429463945008793
-0.060760760760760764 0.0 0.059483735006576846 0.013282180748190518 -0.017430033764347902
-0.06056056056056056 0.0 0.05807588869397254 0.010744100836348683 -0.017430682389059288
-0.06036036036036036 0.0 0.05104022153055157 0.007336918872294582 -0.017431405719683796
-0.06016016016016017 0.0 0.039668201146565246 0.003352835683761983 -0.017432199072100318
-0.059959959959959966 0.0 0.02525129517226367 -0.0009159479015157616 -0.01743305776218772
-0.059759759759759765 0.0 0.00908097123789807 -0.005177231055804896 -0.017433977105824908
-0.05955955955955956 0.0 -0.007551303026280598 -0.009138812951371797 -0.017434952418890756
-0.05935935935935936 0.0 -0.023354059990021436 -0.012508492760482826 -0.017435979017264153
-0.05915915915915916 0.0 -0.03703583202307349 -0.014994069655404351 -0.01743705221682399
-0.05895895895895896 0.0 -0.04730515149518587 -0.016303342808402736 -0.01743816733344914
-0.058758758758758765 0.0 -0.05287055400522568 -0.01614411222468444 -0.01743931968303468
-0.058558558558558564 0.0 -0.052832213493524335 -0.014325199687645063 -0.017440506542325734
-0.05835835835835836 0.0 -0.047762938366324253 -0.011035288032621875 -0.017441732561235886
-0.05815815815815816 0.0 -0.03858160767126126 -0.006552327839887299 -0.017443004122380975
-0.05795795795795796 0.0 -0.026207100455971126 -0.0011542696897137578 -0.01744432760837685
-0.05775775775775776 0.0 -0.01155829576808963 0.004880935837626332 -0.01744570940183937
-0.05755755755755756 0.0 0.0044459273447474 0.011275338161860542 -0.017447155885384383
-0.057357357357357364 0.0 0.020886689834903625 0.017750986702716236 -0.017448673441627736
-0.05715715715715716 0.0 0.03684511265474441 0.024029930879921425 -0.017450268453185286
-0.05695695695695696 0.0 0.05140231675663336 0.02983422011320349 -0.017451947302672882
-0.05675675675675676 0.0 0.06363942309293469 0.03488590382228999 -0.017453716372706374
-0.05655655655655656 0.0 0.07271433689272677 0.038927222444079444 -0.017455581604268623
-0.05635635635635636 0.0 0.07852044997437688 0.04189381828091493 -0.01745754470811254
-0.05615615615615616 0.0 0.0813603476406009 0.04382893421461067 -0.017459605041470868
-0.05595595595595596 0.0 0.08154102144752187 0.04477697178526379 -0.01746176193623332
-0.05575575575575576 0.0 0.07936946295126235 0.044782332532971196 -0.017464014724289587
-0.05555555555555556 0.0 0.07515266370794524 0.0438894179978299 -0.017466362737529377
-0.05535535535535536 0.0 0.06919761527369332 0.0421426297199369 -0.0174688053078424
-0.05515515515515516 0.0 0.06181130920462942 0.03958636923938917 -0.017471341767118356
-0.054954954954954956 0.0 0.05330073705687629 0.03626503809628373 -0.017473971447246942
-0.05475475475475476 0.0 0.04397289038655715 0.03222303783071773 -0.017476693680117877
-0.05455455455455456 0.0 0.034134519395503646 0.027506910833264522 -0.01747950772449085
-0.05435435435435436 0.0 0.024084136463453473 0.02223627027076473 -0.01748241034307758
-0.05415415415415416 0.0 0.014110171610990018 0.016620161419842523 -0.017485395243649726
