x y
0.72669 7.4245
0.064673 3.9558
0.65112 6.4258
0.70769 7.2157
0.72394 7.5284
0.48509 4.8659
0.44081 4.9364
0.1001 4.5158
0.65222 6.4524
0.50275 5.0834
0.95971 9.6709
0.83746 8.9755
0.4825 4.9829
0.32581 5.2784
0.070133 4.1529
0.051467 3.7747
0.72632 7.2929
0.65048 6.3371
0.89629 9.3592
0.96529 9.6784
0.29179 5.2353
0.78762 8.2791
0.93638 9.5865
0.70718 6.9995
0.061529 3.7741
0.87721 9.2336
0.51404 4.9518
0.072562 3.9447
0.47509 4.9861
0.092217 4.2108
0.9521 9.8035
0.074038 4.0919
0.3677 5.3078
0.48359 4.7907
0.70051 7.0747
0.54102 5.2691
0.91398 9.5695
0.21799 5.1682
0.89295 9.1266
0.21595 5.2758
0.86053 9.308
0.44045 5.1698
0.96523 9.5242
0.51083 5.018
0.5508 5.2133
0.58625 5.6924
0.23058 5.1156
0.045497 3.6175
0.83176 8.9056
0.87218 8.9585
0.53945 5.1314
0.976 9.4433
0.17003 5.0371
0.75103 7.8138
0.84575 8.9054
0.049109 3.6762
0.55885 5.3722
0.68161 6.8069
0.46894 4.9058
0.77497 8.3264
0.69148 7.0591
0.37799 5.0529
0.28353 5.258
0.8483 8.9481
0.27849 5.4106
0.44515 4.8487
0.31465 5.1695
0.45683 4.8266
0.27798 5.4176
0.17721 5.0106
0.54359 5.2774
0.20541 5.1797
0.20937 5.3105
0.26035 5.3727
0.2909 5.3065
0.26389 5.4039
0.45769 4.8793
0.062279 3.869
0.55784 5.3721
0.12929 4.8429
0.15374 4.6901
0.41413 5.1942
0.92794 9.4798
0.78031 8.1925
0.66813 6.5382
0.073624 4.0493
0.28705 5.1861
0.20724 5.2643
0.69881 7.0375
0.029876 3.4714
0.64018 6.3466
0.43552 4.9824
0.90283 9.5425
0.86412 9.0289
0.63367 6.3159
0.84142 8.7688
0.74475 7.7323
0.36594 4.8501
0.97795 9.6107
0.18781 5.3825
0.20494 5.1658
0.73071 7.5545
0.22505 5.1544
0.44581 4.9182
0.13947 4.8355
0.095567 4.4132
0.055642 3.799
0.066969 3.9147
0.8421 9.0011
0.69496 7.2314
0.34309 5.2563
0.9721 9.7222
0.33985 5.1933
0.28349 5.2986
0.53473 5.1771
0.83691 8.8418
0.19207 5.2037
0.59086 5.6336
0.65341 6.494
0.15186 4.9197
0.85097 9.0296
0.72715 7.2615
0.3736 5.1683
0.89239 9.37
0.59666 5.7205
0.69198 6.973
0.25925 5.1995
0.84056 8.829
0.087229 4.3083
0.023982 3.2985
0.94853 9.6098
0.78494 8.3079
0.74108 7.6715
0.82786 8.7453
0.19638 5.1917
0.26924 5.4032
0.45528 4.7956
0.88424 9.4245
0.48887 4.903
0.47892 4.9712
0.51678 5.0816
0.83369 8.8867
0.45462 5.0181
0.23084 5.25
0.40652 4.9904
0.68918 6.9019
0.92673 9.3533
0.9716 9.5692
0.89557 9.5135
0.69109 7.0211
