x y
0.5508 5.3136
0.70815 7.1949
0.2909 5.2957
0.51083 5.0888
0.89295 9.3577
0.89629 9.3773
0.12559 4.6468
0.20724 5.2118
0.051467 3.7462
0.44081 4.9736
0.029876 3.439
0.45683 4.9722
0.64914 6.3527
0.27849 5.3089
0.67625 6.7292
0.59086 5.6606
0.023982 3.3533
0.55885 5.3738
0.25925 5.3141
0.4151 5.0026
0.28353 5.3044
0.69314 6.9739
0.44045 4.9737
0.15687 4.923
0.54465 5.271
0.78031 8.2306
0.30636 5.2702
0.22196 5.2598
0.38797 5.06
0.93638 9.5459
0.976 9.6003
0.67238 6.674
0.90283 9.4132
0.84575 8.9899
0.37799 5.0856
0.092217 4.2784
0.65341 6.4102
0.55784 5.3659
0.36156 5.1305
0.22505 5.2679
0.40652 5.0183
0.46894 4.9812
0.26924 5.3139
0.29179 5.2945
0.45769 4.9726
0.86053 9.1231
0.58625 5.6147
0.28349 5.3044
0.27798 5.3093
0.45462 4.9715
0.20541 5.2047
0.20138 5.1882
0.51404 5.1023
0.087229 4.2176
0.48359 5.0048
0.36218 5.1288
0.70769 7.1881
0.74675 7.7622
0.69109 6.944
0.68918 6.916
0.3736 5.0973
0.66813 6.6139
0.33985 5.1906
0.57279 5.4895
0.32581 5.227
0.44515 4.9718
0.061529 3.8844
0.24268 5.3012
0.9716 9.5992
0.23058 5.2807
0.69148 6.9496
0.65048 6.3706
0.72394 7.4284
0.47509 4.9894
0.59666 5.7203
0.066969 3.9574
0.072562 4.0312
0.19898 5.1778
0.15186 4.8837
0.1001 4.3717
0.12929 4.6833
0.55328 5.3316
0.18781 5.1236
0.9521 9.5799
0.68161 6.8062
0.54102 5.2472
0.70718 7.1806
0.26389 5.3147
0.92673 9.5163
0.83919 8.9258
0.72632 7.4636
0.48024 4.9982
0.8421 8.9546
0.74475 7.7333
0.66033 6.5049
0.91398 9.4666
0.63367 6.1508
0.36594 5.1183
0.55284 5.3284
0.19638 5.166
0.19207 5.1454
0.72567 7.454
0.78494 8.2919
0.9721 9.5993
0.85097 9.0387
0.54359 5.264
0.089791 4.249
0.48887 5.0169
0.92794 9.5204
0.78762 8.327
0.48509 5.0081
0.45528 4.9717
0.21799 5.2484
0.17721 5.0632
0.073624 4.045
0.89239 9.3544
0.64018 6.2344
0.14333 4.8123
0.41413 5.0042
0.049109 3.7133
0.20937 5.2198
0.73071 7.5282
0.65112 6.3793
0.47898 4.9958
0.27478 5.3114
0.65222 6.3941
0.95645 9.5863
0.43552 4.977
0.070133 3.9993
0.057731 3.8327
0.082871 4.1633
0.95971 9.5903
0.54076 5.2456
0.83746 8.9084
0.17003 5.0174
0.26035 5.3143
0.69198 6.9569
0.89557 9.3731
0.34069 5.1884
0.064673 3.9267
0.86412 9.1529
0.29087 5.2957
0.74108 7.68
0.15803 4.9319
0.69496 7.0006
0.84142 8.9479
0.72715 7.4758
0.35911 5.1374
0.72669 7.469
0.13947 4.7782
0.31382 5.2549
0.41958 4.9954
0.87721 9.2538
0.15374 4.8987
0.88012 9.2745
0.79896 8.4717
0.97162 9.5992
0.3677 5.1135
0.20494 5.2029
0.24057 5.2984
0.82786 8.8081
0.96523 9.5955
0.69881 7.0571
0.4825 5.0026
0.28705 5.3005
0.83369 8.8697
0.87218 9.2166
0.092132 4.2774
0.21595 5.2421
0.83176 8.8496
0.8483 9.014
0.31465 5.253
0.27929 5.3083
0.43082 4.9813
0.53945 5.2372
0.095567 4.3185
0.83691 8.9028
0.53473 5.2084
0.77497 8.1586
0.23084 5.2812
0.96529 9.5955
0.75103 7.8238
0.34309 5.1818
0.94853 9.5736
0.70051 7.0822
0.84056 8.9394
0.045497 3.6626
0.055642 3.804
0.74274 7.7041
0.30469 5.2733
0.51678 5.1145
0.15626 4.9184
0.97795 9.6004
0.50275 5.0583
0.829 8.8204
0.074038 4.0504
0.47892 4.9957
0.062279 3.8945
0.88424 9.3026
0.44581 4.9716
