H	mur
0	4021.0642194923064588
0.001	4021.0642194923064588
0.197	4021.0642194923064588
0.198	4021.0642194923064484
0.199	4020.9722600073847803
0.2	4020.6987477822006088
0.201	4020.2471948389283281
0.202	4019.6210636564634531
0.203	4018.8237674613662032
0.204	4017.8586705373310548
0.205	4016.7290885519147515
0.206	4015.4382888993137439
0.207	4013.9894910580391339
0.208	4012.3858669623906181
0.209	4010.6305413866836197
0.21	4008.7265923412325672
0.211	4006.6770514791419595
0.212	4004.4849045130019743
0.213	4002.1530916406299265
0.214	3999.684507979039872
0.215	3997.0820040058641814
0.216	3994.3483860074885314
0.217	3991.4864165331990773
0.218	3988.4988148546764686
0.219	3985.3882574302039563
0.22	3982.1573783729909126
0.221	3978.8087699230427468
0.222	3975.3449829220389521
0.223	3971.7685272907089501
0.224	3968.081872508222075
0.225	3964.2874480931356577
0.226	3960.3876440854680983
0.227	3956.3848115294893567
0.228	3952.2812629568422069
0.229	3948.0792728696314376
0.23	3943.7810782231370188
0.231	3939.3888789078279717
0.232	3934.9048382303731184
0.233	3930.3310833933614745
0.234	3925.6697059734640702
0.235	3920.9227623977839478
0.236	3916.0922744181578788
0.237	3911.1802295831877487
0.238	3906.1885817077940634
0.239	3901.1192513400976391
0.24	3895.9741262254487469
0.241	3890.7550617674347534
0.242	3885.4638814857100341
0.243	3880.1023774705022833
0.244	3874.6723108336609742
0.245	3869.175412156122386
0.246	3863.6133819316779921
0.247	3857.9878910069388098
0.248	3852.3005810174001094
0.249	3846.5530648195177593
0.25	3840.7469269187148296
0.251	3834.8837238932470288
0.252	3828.9649848138593777
0.253	3822.9922116591766071
0.254	3816.9668797267734675
0.255	3810.890438039879449
0.256	3804.7643097496766131
0.257	3798.5898925331555764
0.258	3792.3685589864999724
0.259	3786.1016570139738737
0.26	3779.7905102122921091
0.261	3773.436418250457889
0.262	3767.0406572450550821
0.263	3760.6044801309885012
0.264	3754.1291170276670557
0.265	3747.6157756006298667
0.266	3741.0656414186180254
0.267	3734.479878306097258
0.268	3727.8596286912415027
0.269	3721.2060139493874476
0.27	3714.5201347419755022
0.271	3707.8030713509929176
0.272	3701.0558840089386007
0.273	3694.2796132243298037
0.274	3687.4752801027746662
0.275	3680.6438866636347116
0.276	3673.7864161523041986
0.277	3666.9038333481349013
0.278	3659.9970848680352381
0.279	3653.0670994657759412
0.28	3646.1147883270336807
0.281	3639.1410453602073752
0.282	3632.1467474830408216
0.283	3625.1327549050883985
0.284	3618.0999114060598129
0.285	3611.0490446100820036
0.286	3603.9809662559163099
0.287	3596.8964724631695735
0.288	3589.7963439945398044
0.289	3582.6813465141355653
0.29	3575.5522308419105598
0.291	3568.4097332042544195
0.292	3561.254575480781262
0.293	3554.087465447357813
0.294	3546.9090970154137296
0.295	3539.7201504675761809
0.296	3532.521292689671513
0.297	3525.3131773991369627
0.298	3518.09644536988512
0.299	3510.8717246536643489
0.3	3503.6396307979580695
0.301	3496.4007670604661317
0.302	3489.1557246202113987
0.303	3481.9050827853140469
0.304	3474.6494091974772965
0.305	3467.3892600332265514
0.306	3460.1251802019453748
0.307	3452.8577035407502198
0.308	3445.5873530062466213
0.309	3438.3146408632089074
0.31	3431.0400688702253077
0.311	3423.7641284623502021
0.312	3416.4873009308050689
0.313	3409.2100575997689958
0.314	3401.9328600003000977
0.315	3394.6561600414279102
0.316	3387.38040017845765
0.317	3380.1060135785259947
0.318	3372.833424283447676
0.319	3365.5630473698931502
0.32	3358.2952891069353781
0.321	3351.0305471110047557
0.322	3343.7692104982905222
0.323	3336.5116600346260571
0.324	3329.2582682828963361
0.325	3322.0093997480037417
0.326	3314.7654110194297282
0.327	3307.5266509114282979
0.328	3300.293460600887321
0.329	3293.0661737628931212
0.33	3285.8451167040338777
0.331	3278.630608493475956
0.332	3271.4229610918482182
0.333	3264.222479477967447
0.334	3257.0294617734393887
0.335	3249.8441993651675253
0.336	3242.6669770258028966
0.337	3235.4980730321673214
0.338	3228.3377592816814627
0.339	3221.1863014068296515
0.34	3214.0439588876921407
0.341	3206.910985162576055
0.342	3199.7876277367746387
0.343	3192.6741282894850492
0.344	3185.5707227789140992
0.345	3178.4776415456010718
0.346	3171.3951094139860499
0.347	3164.3233457922521225
0.348	3157.2625647704696069
0.349	3150.2129752170693626
0.35	3143.1747808736724943
0.351	3136.1481804483033372
0.352	3129.1333677070115355
0.353	3122.1305315639297465
0.354	3115.1398561697922451
0.355	3108.1615209989395224
0.356	3101.1957009348340883
0.357	3094.2425663541115439
0.358	3087.3022832091912144
0.359	3080.3750131094701422
0.36	3073.4609134011237489
0.361	3066.5601372455361691
0.362	3059.6728336963829969
0.363	3052.7991477753888312
0.364	3045.939220546781451
0.365	3039.0931891904645226
0.366	3032.261187073930098
0.367	3025.4433438229317411
0.368	3018.6397853909391105
0.369	3011.8506341273944006
0.37	3005.0760088447906032
0.371	2998.3160248845913083
0.372	2991.5707941820113767
0.373	2984.840425329677964
0.374	2978.1250236401901261
0.375	2971.4246912075960351
0.376	2964.7395269678056999
0.377	2958.0696267579573296
0.378	2951.4150833747548625
0.379	2944.7759866317937864
0.38	2938.1524234158930507
0.381	2931.544477742448851
0.382	2924.9522308098278912
0.383	2918.3757610528153694
